BatchID,StationID
2,7
3,11
4,8
5,13
6,2
7,13
8,22
9,19
10,18
11,7
12,7
13,25
14,12
16,26
17,10
19,2
20,20
21,10
22,10
24,16
25,8
26,5
27,26
28,21
29,11
30,1
31,20
32,16
33,9
34,22
36,18
38,3
39,6
40,13
41,8
42,15
44,12
45,19
46,27
47,13
48,20
49,19
50,11
51,4
52,27
54,6
55,10
56,12
57,5
59,13
60,18
61,16
63,16
66,27
67,9
68,7
69,18
70,6
71,8
72,26
74,17
75,12
76,3
77,15
78,21
79,15
80,22
81,13
82,4
83,8
84,27
85,9
86,24
87,18
88,3
89,17
90,3
91,9
92,6
93,12
94,7
95,5
96,16
97,5
98,26
99,2
100,23
102,11
103,20
105,27
106,17
108,21
109,6
111,23
112,21
113,23
114,3
115,26
116,13
117,2
118,22
119,6
120,15
122,12
123,14
124,12
125,16
126,28
128,4
130,15
131,16
133,1
135,8
136,19
137,9
139,25
140,12
141,27
142,24
143,11
144,22
146,13
147,17
148,20
150,16
151,9
152,6
153,14
154,26
155,1
156,7
157,4
158,21
160,13
163,24
164,27
165,7
166,15
167,10
168,18
169,5
170,17
171,12
173,10
174,28
176,2
177,4
178,25
179,11
180,13
181,4
183,20
184,9
185,20
186,17
188,10
189,5
190,18
191,23
194,23
195,13
196,26
198,17
199,2
200,12
201,21
202,5
203,8
204,12
205,11
206,6
207,4
208,22
209,21
210,9
211,15
212,23
214,19
215,13
216,16
218,7
219,2
220,17
221,28
222,12
223,16
224,7
225,4
226,21
227,10
229,25
231,18
232,21
233,23
234,12
235,22
236,21
237,8
238,7
239,9
240,2
241,24
242,15
244,7
245,10
246,26
247,27
248,26
250,7
251,22
252,16
253,10
254,9
255,23
256,12
257,18
258,6
259,19
260,14
261,17
262,4
263,24
264,13
269,18
270,27
272,3
274,22
277,6
278,10
279,28
280,7
281,11
282,27
284,18
285,16
286,20
287,18
290,25
292,2
293,16
294,21
295,15
296,27
297,2
298,15
299,25
300,7
301,9
302,3
303,9
304,13
305,17
306,4
307,2
308,10
309,7
310,17
311,13
312,15
313,4
314,13
315,23
316,25
317,7
318,27
319,13
320,3
323,21
324,26
326,19
327,4
328,1
329,6
330,3
331,18
333,23
334,20
335,16
336,27
337,3
339,20
340,27
341,27
342,7
344,9
345,24
346,8
347,10
348,23
349,16
350,20
351,14
352,19
353,26
354,8
355,5
356,6
358,23
359,26
360,19
362,27
363,10
364,11
365,4
366,5
367,25
368,18
371,23
373,17
374,2
375,2
377,22
378,3
379,5
380,3
381,8
382,24
384,15
385,19
386,5
387,27
388,4
389,9
391,8
392,25
393,12
394,15
395,8
396,26
397,9
398,6
399,23
401,7
402,4
404,8
405,26
406,27
407,4
408,12
409,9
410,3
411,9
412,4
413,9
414,1
415,16
416,2
417,5
418,23
419,5
421,17
423,28
424,20
425,2
426,23
428,11
429,15
430,23
432,18
434,16
435,24
436,3
437,10
438,11
439,6
440,25
441,20
442,13
444,13
445,10
446,25
447,9
448,20
449,3
450,2
452,19
453,24
454,25
455,11
457,8
458,20
459,6
460,17
462,15
463,21
464,24
465,5
466,6
467,16
469,22
470,3
471,6
472,15
473,26
475,6
476,20
477,15
478,18
480,9
481,11
482,25
483,25
484,1
485,3
486,2
487,10
488,26
489,10
491,15
493,18
494,27
495,9
496,17
498,21
499,24
500,14
501,7
502,3
503,7
504,20
505,26
506,12
507,18
