MonitoringKey,StationID,VisitOrder
1,18,1
1,13,2
1,14,3
1,27,4
1,3,5
2,13,1
2,17,2
2,25,3
3,13,1
3,21,2
3,14,3
3,24,4
4,14,1
4,7,2
4,3,3
5,25,1
5,7,2
6,20,1
6,25,2
6,26,3
6,5,4
6,12,5
6,27,6
7,25,1
7,14,2
7,1,3
7,18,4
7,7,5
8,21,1
8,17,2
8,13,3
8,8,4
9,1,1
9,17,2
9,27,3
9,4,4
10,25,1
10,8,2
11,23,1
11,5,2
12,4,1
12,11,2
12,17,3
12,19,4
12,18,5
13,5,1
13,21,2
13,8,3
13,19,4
14,3,1
14,27,2
14,2,3
14,24,4
15,26,1
15,10,2
15,23,3
15,17,4
15,22,5
16,2,1
16,9,2
16,19,3
16,14,4
16,27,5
16,21,6
17,9,1
17,8,2
17,25,3
17,13,4
17,23,5
18,24,1
18,2,2
19,25,1
19,15,2
19,4,3
19,6,4
19,20,5
19,23,6
20,21,1
20,27,2
21,18,1
21,10,2
21,7,3
21,22,4
22,9,1
22,17,2
22,12,3
22,3,4
22,2,5
22,14,6
23,10,1
23,9,2
23,6,3
24,20,1
24,6,2
24,19,3
24,13,4
25,6,1
25,18,2
25,8,3
26,27,1
26,20,2
26,19,3
26,22,4
27,27,1
27,3,2
27,8,3
27,28,4
27,22,5
28,19,1
28,12,2
28,11,3
28,7,4
29,2,1
29,14,2
29,10,3
29,27,4
30,24,1
30,12,2
30,13,3
30,23,4
30,28,5
31,26,1
31,21,2
31,16,3
31,27,4
31,23,5
32,18,1
32,11,2
32,14,3
32,26,4
32,1,5
32,5,6
33,3,1
33,19,2
33,25,3
33,4,4
33,13,5
34,28,1
34,17,2
34,8,3
35,16,1
35,23,2
35,24,3
36,7,1
36,16,2
36,25,3
36,4,4
36,24,5
37,3,1
37,14,2
37,24,3
38,12,1
38,15,2
38,4,3
38,5,4
39,17,1
39,8,2
39,24,3
39,3,4
39,13,5
39,20,6
40,12,1
40,15,2
40,25,3
40,22,4
41,9,1
41,11,2
42,12,1
42,7,2
42,17,3
42,14,4
42,25,5
42,26,6
43,20,1
43,21,2
43,25,3
43,3,4
43,10,5
43,1,6
44,15,1
44,11,2
44,7,3
44,9,4
44,3,5
45,3,1
45,12,2
46,13,1
46,25,2
46,11,3
47,16,1
47,25,2
47,10,3
48,5,1
48,3,2
49,13,1
49,19,2
49,20,3
49,16,4
49,18,5
49,25,6
50,25,1
50,14,2
50,5,3
50,3,4
50,20,5
51,19,1
51,15,2
51,20,3
52,14,1
52,26,2
52,12,3
52,4,4
53,19,1
53,24,2
53,27,3
54,22,1
54,17,2
54,12,3
55,14,1
55,19,2
55,21,3
55,9,4
55,3,5
56,12,1
56,22,2
56,6,3
56,4,4
56,25,5
57,24,1
57,2,2
57,16,3
57,28,4
57,15,5
57,25,6
57,3,7
58,26,1
58,16,2
58,13,3
58,10,4
58,20,5
58,1,6
58,11,7
59,16,1
59,14,2
59,9,3
59,27,4
59,28,5
59,15,6
60,13,1
60,7,2
60,6,3
60,23,4
60,21,5
60,15,6
61,15,1
61,16,2
61,7,3
61,17,4
61,5,5
61,2,6
62,17,1
62,7,2
62,12,3
62,18,4
62,16,5
63,6,1
63,1,2
63,12,3
64,5,1
64,19,2
64,1,3
64,4,4
65,27,1
65,2,2
65,14,3
65,24,4
65,8,5
65,23,6
66,1,1
66,11,2
66,25,3
66,19,4
67,8,1
67,16,2
67,28,3
67,24,4
67,9,5
68,11,1
68,28,2
68,3,3
68,8,4
68,23,5
69,15,1
69,23,2
70,5,1
70,13,2
70,10,3
70,14,4
70,17,5
71,18,1
71,5,2
71,16,3
71,26,4
71,22,5
71,20,6
71,14,7
72,16,1
72,8,2
72,10,3
73,25,1
73,22,2
73,26,3
73,6,4
73,15,5
73,18,6
74,12,1
74,21,2
74,23,3
74,17,4
74,3,5
75,2,1
75,15,2
75,4,3
75,11,4
75,23,5
75,8,6
75,25,7
76,11,1
76,8,2
76,22,3
76,2,4
76,20,5
77,21,1
77,27,2
77,11,3
77,8,4
77,25,5
78,13,1
78,3,2
78,16,3
78,6,4
78,15,5
78,11,6
79,21,1
79,15,2
79,22,3
79,7,4
80,2,1
80,23,2
80,19,3
80,27,4
80,3,5
81,15,1
81,18,2
81,10,3
81,3,4
81,24,5
81,5,6
81,11,7
82,28,1
82,15,2
82,7,3
82,12,4
83,3,1
83,21,2
83,12,3
83,23,4
83,11,5
84,28,1
84,20,2
84,12,3
84,4,4
85,18,1
85,3,2
85,4,3
85,28,4
85,14,5
85,2,6
86,5,1
86,25,2
87,16,1
87,14,2
87,3,3
87,25,4
88,8,1
88,17,2
88,14,3
89,19,1
89,26,2
89,18,3
89,9,4
90,13,1
90,2,2
90,25,3
91,6,1
91,15,2
91,2,3
91,24,4
91,13,5
92,16,1
92,19,2
92,11,3
92,3,4
92,13,5
93,21,1
93,2,2
94,21,1
94,26,2
94,15,3
94,8,4
94,28,5
95,21,1
95,4,2
95,17,3
95,13,4
96,8,1
96,4,2
96,13,3
96,18,4
96,5,5
97,23,1
97,9,2
97,12,3
97,25,4
97,20,5
98,22,1
98,9,2
98,8,3
99,11,1
99,13,2
100,9,1
100,8,2
100,26,3
100,24,4
101,14,1
101,16,2
101,8,3
102,6,1
102,24,2
102,2,3
102,10,4
102,21,5
102,18,6
103,16,1
103,8,2
103,17,3
103,26,4
103,25,5
103,14,6
103,13,7
104,2,1
104,21,2
104,5,3
104,11,4
105,25,1
105,2,2
105,24,3
105,9,4
106,14,1
106,21,2
106,6,3
107,27,1
107,17,2
107,9,3
108,25,1
108,6,2
108,1,3
108,20,4
108,24,5
108,4,6
108,2,7
109,17,1
109,15,2
109,1,3
109,20,4
109,27,5
110,4,1
110,11,2
110,8,3
110,16,4
110,18,5
110,9,6
111,22,1
111,10,2
111,2,3
111,20,4
111,28,5
112,4,1
112,26,2
112,14,3
113,23,1
113,6,2
113,8,3
113,2,4
113,17,5
113,22,6
114,2,1
114,28,2
114,15,3
114,10,4
114,6,5
115,17,1
115,21,2
115,5,3
115,11,4
116,10,1
116,8,2
116,1,3
116,23,4
116,14,5
116,16,6
117,21,1
117,19,2
117,6,3
117,16,4
117,27,5
117,17,6
118,28,1
118,25,2
118,7,3
118,2,4
118,13,5
118,1,6
119,27,1
119,8,2
119,11,3
119,13,4
120,23,1
120,13,2
120,11,3
120,26,4
120,21,5
121,15,1
121,22,2
121,13,3
121,24,4
121,12,5
121,21,6
121,27,7
122,13,1
122,7,2
122,10,3
122,4,4
122,11,5
123,10,1
123,23,2
123,15,3
124,4,1
124,18,2
124,10,3
124,17,4
124,24,5
125,19,1
125,25,2
125,6,3
126,14,1
126,25,2
126,15,3
127,15,1
127,17,2
127,12,3
128,20,1
128,15,2
