user_id,item_id,behavior_type,item_category,revenue
115634728,13332,1,1120,0
65087297,15604,1,12326,0
93383888,16099,1,8744,0
117026591,16571,1,5894,0
48445034,18154,1,11879,0
23442968,18234,1,552,0
94267358,18530,1,4264,0
19865503,32089,1,13230,0
48292690,33377,1,12863,0
4922072,35990,1,3431,0
116520218,43064,1,11824,0
754205,45994,1,5395,0
117961451,46529,1,11140,0
81444684,56831,1,881,0
115899915,61243,2,9450,0
53538099,74112,1,6513,0
74593955,74946,1,9517,0
112009033,87809,1,5232,0
59781337,87827,1,7404,0
76568368,92198,4,9790,71.2357734
21365758,93057,1,9397,0
114351223,97381,1,11623,0
67898761,97717,1,3783,0
82438723,109609,1,11824,0
130638372,110996,1,2825,0
49646570,118396,1,11279,0
134438519,119018,1,8771,0
89426847,124335,1,8387,0
3282021,129058,1,3502,0
99851929,132420,1,4999,0
53162708,136456,1,7195,0
82335494,152499,2,5027,0
70517996,152541,1,12685,0
42973948,154193,1,11824,0
50030868,155836,1,10507,0
74593955,163481,1,11821,0
124291848,180279,1,10894,0
96865786,183766,1,5894,0
1805740,184400,1,6986,0
36638003,189314,1,11552,0
82756067,194183,1,12488,0
96646002,194183,1,12488,0
801018,198956,1,11279,0
117044327,212095,1,10703,0
117044327,212095,1,10703,0
65645933,217932,1,5894,0
71146691,232399,1,5894,0
45649071,236940,1,9261,0
52808446,240398,1,5273,0
119681430,252201,1,11824,0
134232421,254885,1,6344,0
75821100,256422,3,1564,0
18927299,262691,1,3074,0
138100684,263335,1,4508,0
140906142,263335,1,4508,0
25963511,263459,1,6000,0
101828235,264960,3,10412,0
123848007,271574,1,8710,0
28204658,271964,1,8877,0
42653601,283596,1,3673,0
115557934,283596,1,3673,0
112711623,283708,1,7450,0
92651729,287315,1,705,0
71223370,291976,1,11127,0
103585097,299003,1,7957,0
102042828,308559,1,10799,0
53150140,308768,1,1863,0
135187545,308876,1,10314,0
101508404,315532,1,3431,0
45743550,315729,1,1039,0
9219164,323222,1,9516,0
28352963,326036,1,3628,0
22621152,326908,1,552,0
29710830,328259,1,9559,0
2010204,341900,1,5894,0
119681430,348241,1,13712,0
11790840,356049,1,6513,0
79359253,356747,1,11917,0
63910679,356747,1,11917,0
56462249,357212,1,5689,0
74873040,364828,1,5399,0
71238931,365104,1,512,0
97073377,365316,1,7939,0
130572539,368288,2,5894,0
78794958,368393,1,10392,0
12998932,371925,1,6344,0
59564210,380433,1,6648,0
3569918,396011,1,7791,0
5837961,399372,1,14079,0
124261357,399586,1,4902,0
88945335,402661,1,13855,0
20174399,404323,1,6226,0
117973406,405334,1,10507,0
134097431,405352,1,1863,0
77403305,409656,1,9752,0
30079563,414885,1,552,0
71258991,422214,1,10984,0
20320170,424066,1,4773,0
59921221,425070,1,7103,0
43592945,425795,1,9516,0
136677136,444668,3,12201,0
80125653,452402,1,5399,0
58207246,457766,1,8851,0
84949737,461620,1,8664,0
138323461,467027,1,12015,0
15957740,471038,1,10703,0
52660721,475791,3,6513,0
71142425,477546,1,5232,0
135124427,482275,1,14079,0
41103398,483401,1,10659,0
119653720,484806,1,10529,0
119653720,484806,1,10529,0
66274733,487359,1,9397,0
9451374,489967,1,6513,0
10630192,490128,1,10392,0
91712885,501807,1,9388,0
86756157,516897,1,12488,0
131646739,520549,1,6648,0
131646739,520549,1,6648,0
129706841,523264,1,10472,0
85745014,526748,1,9363,0
16601047,526880,1,9247,0
13851650,533461,1,1838,0
49893764,537130,1,5399,0
5624123,538320,1,10799,0
26908458,544320,1,7195,0
92241160,545648,1,5894,0
97944240,550875,1,1863,0
131283302,559901,1,8515,0
127619887,564994,2,5894,0
141578499,567201,1,10064,0
95885873,572137,1,2511,0
36886776,572360,1,1863,0
45649071,578025,1,1863,0
41037826,580297,1,10431,0
2502524,581913,1,4364,0
127377977,582589,1,4991,0
61457956,583149,1,1838,0
39880792,586364,1,5027,0
130844739,588812,1,446,0
25751195,590395,2,603,0
80331565,597862,1,5027,0
77055357,600342,1,8484,0
9056309,622520,1,8792,0
72306639,624515,1,4390,0
137829350,625233,1,12406,0
137829350,625233,1,12406,0
11682531,627978,1,5399,0
128246403,632300,1,6054,0
1926899,638269,1,5271,0
102923008,638973,1,10659,0
109202768,639007,1,3798,0
110659116,644598,1,6504,0
28739065,647117,1,1863,0
114211505,658439,1,4343,0
115159934,659307,1,2647,0
59567091,661234,1,12221,0
21038500,662684,1,9517,0
33463484,667946,1,6513,0
65949028,671575,1,5399,0
126784328,673125,1,3275,0
130547450,674398,1,4269,0
24625581,677957,1,1723,0
61259086,677957,1,1723,0
21038500,679573,1,5399,0
82187286,694354,1,13365,0
67028419,698569,1,446,0
51492142,711993,1,9835,0
59659116,712044,1,5749,0
118056074,719418,1,3979,0
66688297,732630,1,3015,0
133089485,733672,1,9261,0
98435498,734790,1,2415,0
61409141,739740,1,6513,0
109056742,746668,1,3102,0
37485293,748844,1,5127,0
6101177,755564,1,1863,0
78898649,756281,1,3381,0
55530513,774943,1,10894,0
35148772,775765,1,5340,0
15437545,778656,1,9618,0
40456641,789546,1,6513,0
8249269,789895,1,9693,0
80481728,789966,1,13763,0
90194475,806234,1,6401,0
19805334,811480,1,7419,0
10211498,815178,1,12488,0
118433993,824299,1,6513,0
123442458,824875,1,1863,0
22776936,829575,1,7985,0
66205819,835413,1,5623,0
51763538,838325,1,1334,0
142450275,841931,1,13230,0
81729056,853539,1,7312,0
5478302,853851,1,10901,0
9056309,853904,1,1483,0
73275893,859496,1,11335,0
32126202,862136,1,9397,0
100014060,863419,1,12090,0
21111117,863419,1,12090,0
8388321,864177,1,5399,0
55265236,866562,1,11652,0
75032548,869232,1,12910,0
23223121,875288,1,13230,0
22273841,894872,1,6648,0
67892536,908996,1,8583,0
43586684,916017,1,3925,0
116113058,925709,2,6000,0
38915660,926594,1,6000,0
111695487,927220,1,3271,0
4102557,927298,1,7195,0
5860001,934808,1,725,0
56892801,935164,1,10804,0
3808025,944869,1,3942,0
21906850,958182,1,8877,0
96234838,961092,1,6648,0
31456519,967017,1,1572,0
118152898,968014,1,5894,0
16895773,971038,1,12326,0
121528560,971652,1,10049,0
12122714,979596,1,11406,0
111823061,981597,1,85,0
1091123,983886,1,5271,0
17757827,1005464,1,5399,0
32474658,1022299,1,2883,0
26401646,1026892,1,12621,0
70776553,1046852,1,3064,0
2639819,1050075,1,12907,0
139891563,1050898,3,4190,0
132203647,1058572,1,11279,0
41103398,1066385,1,6344,0
131637785,1069333,1,13041,0
43022968,1077652,1,10961,0
24636415,1092148,1,11552,0
51612422,1092148,1,11552,0
109084676,1092823,1,6576,0
133665536,1097852,1,3156,0
76707547,1106089,1,13381,0
91162737,1108604,4,4721,26.46959488
4364079,1130603,1,7995,0
82473850,1150633,1,1731,0
475826,1155905,1,1863,0
10075065,1159305,1,6648,0
101361390,1160732,1,5249,0
102011432,1160732,1,5249,0
98669047,1169015,1,8877,0
32562103,1169392,1,11090,0
119416849,1172516,1,8443,0
49847741,1174616,1,2950,0
35095494,1181271,3,9835,0
76212088,1188825,1,12170,0
128289511,1198688,1,4116,0
128289511,1198688,1,4116,0
38010001,1203628,1,4832,0
22369795,1209295,1,12855,0
133866163,1210375,1,1854,0
108770715,1228523,1,11279,0
87442587,1242028,1,5689,0
89748192,1244075,1,5329,0
80954170,1247709,1,9820,0
4364079,1251329,1,10242,0
17816597,1257707,1,4370,0
36233277,1259054,1,3368,0
62355811,1259054,1,3368,0
71035154,1269297,1,5689,0
92454730,1273828,1,13547,0
115452492,1280323,1,11742,0
91557809,1298915,1,3662,0
108070698,1304062,1,5399,0
60366651,1310593,1,4537,0
77522552,1311270,1,1863,0
91339068,1319214,1,6513,0
91339068,1319214,1,6513,0
47720492,1346067,4,12189,118.6934101
135080969,1350149,1,5894,0
127698085,1351378,1,5894,0
36233277,1365165,1,10315,0
96509906,1371994,1,9614,0
107487112,1384669,1,11279,0
80458696,1388232,1,1863,0
39497489,1392892,1,292,0
107377446,1401812,1,5027,0
107377446,1401812,1,5027,0
47060411,1408558,1,2901,0
69255232,1422668,1,1863,0
80125653,1425530,1,1863,0
90924422,1431205,1,11537,0
81584249,1431771,1,6045,0
138843810,1436239,1,14033,0
129811530,1439664,1,3628,0
14070819,1444982,1,3424,0
89083541,1451475,1,3064,0
44880226,1458606,1,13230,0
137905112,1466397,1,3502,0
69687230,1467734,1,3662,0
106627467,1470704,1,1166,0
115218563,1472660,1,3472,0
51417755,1477467,3,13365,0
125135169,1478264,1,13230,0
104164603,1483295,1,7195,0
85862488,1485361,1,12090,0
65949028,1489375,1,4259,0
101899044,1493502,1,13374,0
26401619,1494136,1,2825,0
120594609,1494986,1,11,0
62603444,1514995,1,5653,0
51341836,1515445,1,6255,0
247543,1531532,1,10585,0
247543,1531532,1,10585,0
127771332,1535575,1,12488,0
11053843,1540958,1,444,0
87751423,1542463,3,7312,0
87751423,1542463,1,7312,0
93007379,1546812,1,11776,0
74012467,1546833,1,1083,0
42210592,1554161,1,3846,0
139090437,1560780,1,6209,0
108212684,1562636,1,12345,0
66699196,1566392,1,13041,0
10020755,1572241,1,5653,0
57787294,1575020,1,11552,0
16061238,1580837,1,7606,0
81037956,1602366,1,3190,0
87475354,1605498,3,11721,0
101664376,1615998,1,1504,0
124729533,1616026,3,3368,0
122388121,1628397,1,5232,0
90326641,1629151,1,9517,0
26766183,1632072,4,11824,230.0678273
79062073,1639900,1,1863,0
